,用户编号,公会编号,公会名,是不是会长,算力
0,215778756655316992,233207344526525696,百子湾少林寺,1,386.0
1,217235926081077248,233384692928480512,Token,1,676.0
2,216619923114557440,233215746388526336,韭菜课堂,1,357.0
3,218487337112567808,233384692928480512,Token,0,75.0
4,215870172853174272,233207344526525696,百子湾少林寺,0,1502.0
5,228178186553524224,236729913284232448,mm guild,1,27.0
6,216620218762657792,233384692928480512,Token,0,10.0
7,217310009057607680,234510585352684800,哈希guild,0,1.0
8,216480842309173248,233828205151388928,嘿嘿嘿,0,168.0
9,230164845973209088,233828205151388928,嘿嘿嘿,0,14.0
10,230164915271499776,233828205151388928,嘿嘿嘿,1,30.0
11,230178546449121280,233828205151388928,嘿嘿嘿,0,17.0
12,216464534410625024,233309886921049344,Super BTC,0,74.0
13,216439005787717632,233309886921049344,Super BTC,0,140.0
14,218774855326367744,233207344526525696,百子湾少林寺,0,109.0
15,233299238195560448,234510585352684800,哈希guild,1,56.0
16,217071701765390336,233661223189873920,闫辉的朋友,1,46.0
17,216484223555731456,234432763380630784,跑跑卡丁车,1,78.0
18,234497695014977536,238784027195344128,BHEX超人气工会,1,257.0
19,216449109253685248,234441027988227328,Super Guild,0,123.0
20,234600792408195072,234616914725569792,幣市征途,1,2926.0
21,234566144848297984,234442678371353856,斗地主,0,190.0
22,216449018983874560,233215746388526336,韭菜课堂,0,49.0
23,234650690826534912,234700541580805376,财富自由,1,312.0
24,216473048763858944,233685142751937792,麒麟社,0,38.0
25,217268712066252800,234442678371353856,斗地主,1,82.0
26,222912800522240000,233309886921049344,Super BTC,1,259.0
27,228798339389587456,233309886921049344,Super BTC,0,8.0
28,235253608294383616,235265521795466496,BHEX,1,6.0
29,235314825008513024,235345573954454784,蓝色风车,1,73.0
30,223656784781639680,254874516889797888,币哈哈,0,15.0
31,216539869370122240,238939027758384384,币核联合会,1,18.0
32,235966398248255488,233332784507389184,5029公会,0,4.0
33,235985037642956800,235995981840385280,币圈老王,1,182.0
34,233942744882741248,233384692928480512,Token,0,13.0
35,236770952401387520,236773033732474112,To Da Moon,1,22.0
36,236745814175907840,236729913284232448,mm guild,0,8.0
37,236642648801411072,246238539459855616,复仇者联盟,1,3.0
38,237636798598348800,237661061531305216,南宫远,1,925.0
39,235149221295292416,235350196253623552,币核核心,1,411.0
40,238046591024627712,237661061531305216,南宫远,0,212.0
41,238259900340502528,234432763380630784,跑跑卡丁车,0,1.0
42,238178497825341440,233685142751937792,麒麟社,0,1022.0
43,216662556251783168,233685142751937792,麒麟社,0,41.0
44,234584140358615040,234588150071297280,火锅公会,1,227.0
45,238733090049228800,234616914725569792,幣市征途,0,582.0
46,220815694869299200,233685142751937792,麒麟社,0,841.0
47,235167701834924032,234672157173744896,BHEX大牛,0,227.0
48,216473993816047616,233685142751937792,麒麟社,0,714.0
49,216487622166708224,233184213392950528,超级公会,1,11.0
50,238963160147820544,238966846999758080,BHTtodaMoon,1,1.0
51,239166752947437568,239041654928180480,Invest Life Club,0,249.0
52,239200112948281344,236067888744891648,BHEXVietnam,0,11.0
53,239643065198051328,239645778283595008,otokogumi-bhex,1,681.0
54,239740123909193728,236067888744891648,BHEXVietnam,0,1.0
55,240412450682568704,240418134610412800,老干部俱乐部,1,11.0
56,216476416940965888,233280106230187264,bhex官方小姐姐,1,319.0
57,236748335858581504,236729913284232448,mm guild,0,10.0
58,240469124126605312,241218387957777664,Phoenix,1,11.0
59,241709441693777920,241723076881155328,Augus,1,220.0
60,241745458207391744,240373972909425920,彦杰瑞业创投,0,719.0
61,241969168130506752,238784027195344128,BHEX超人气工会,0,71.0
62,236746730950098944,236729913284232448,mm guild,0,17.0
63,240376599583916032,240373972909425920,彦杰瑞业创投,0,235.0
64,236747246144847872,236729913284232448,mm guild,0,15.0
65,242128218268893184,240373972909425920,彦杰瑞业创投,0,1006.0
66,242031184111206400,242384263088178432,币核第一,1,133.0
67,241977574463635456,238953647206302976,孙玉杰的朋友们,0,26.0
68,241292601066782720,254874516889797888,币哈哈,0,12.0
69,242388728805588992,238953647206302976,孙玉杰的朋友们,0,13.0
70,242412655372140544,242421561943131392,铅笔,1,230.0
71,242536076273778688,239645778283595008,otokogumi-bhex,0,75.0
72,242424124990029824,242421561943131392,铅笔,0,294.0
73,241860271642247168,241869623941924096,超级赢家,1,23.0
74,241892043620876288,244205530321782016,爱Q活动网,0,1014.0
75,240366718097293312,240373972909425920,彦杰瑞业创投,1,3030.0
76,241773057642070016,237661061531305216,南宫远,0,51.0
77,241214160359391232,248283182842250496,币核世界,1,23.0
78,237670301448798208,237661061531305216,南宫远,0,9.0
79,243287837401939968,243816868119577856,币核轻舟,1,568.0
80,217324520720302080,233207344526525696,百子湾少林寺,0,9.0
81,243626209630748672,243626681297011968,BHEX第一工会,1,12.0
82,97054366145970176,234432763380630784,跑跑卡丁车,0,4.0
83,243884715072028672,240373972909425920,彦杰瑞业创投,0,154.0
84,243904229180440576,254874516889797888,币哈哈,0,21.0
85,243898409256484864,243946971025638656,数字沙龙,1,1291.0
86,243897203561857024,243932070710347008,区块链小伙伴,1,198.0
87,243900337185095680,243891121418405120,链金术,0,3.0
88,243916964731551744,254874516889797888,币哈哈,0,1617.0
89,243904359438745600,243900300224890112,比特币先锋,0,270.0
90,243916496789831680,254874516889797888,币哈哈,0,503.0
91,243926835036160000,243127297052509440,华龙娱乐,0,112.0
92,240552034217230336,239557784142873856,BHEX Vietnam,0,9.0
93,243954890089693184,243626681297011968,BHEX第一工会,0,3.0
94,240332548696440832,254874516889797888,币哈哈,0,51.0
95,243964924886515712,243626681297011968,BHEX第一工会,0,40.0
96,243961075907952640,254874516889797888,币哈哈,0,11.0
97,243951709431529472,243953348993352960,奉孝,1,253.0
98,243973158447874048,243981864019428608,故的量化团队,1,8.0
99,243978058602905600,239645778283595008,otokogumi-bhex,0,73.0
100,235268430889222144,233828205151388928,嘿嘿嘿,0,200.0
101,242417491597590528,241907791537898752,cocolonotomo Guild,0,9.0
102,243984871343783936,240373972909425920,彦杰瑞业创投,0,1036.0
103,243946851672522752,243947171781805312,熊市抱团取暖,1,469.0
104,216636334478196736,234441027988227328,Super Guild,1,29.0
105,243952607448793088,243947171781805312,熊市抱团取暖,0,148.0
106,243974791676297216,243979286317630720,数字货币星球,1,3.0
107,243980438039953408,251174132182680832,链门户,0,24.0
108,244003233612431360,244047958633612544,暴躁小布丁,1,28.0
109,243987621968347136,234695551004968192,比特币,0,301.0
110,244027855342927872,244028172566529280,WTC to the moon,1,11.0
111,243849130278125568,238953647206302976,孙玉杰的朋友们,0,3.0
112,243987092294860800,244055765986575616,飞虎队,1,73.0
113,244058207742590976,244013422222771456,金字招牌,0,8.0
114,244062583425073152,244070372121773312,히루的一天,1,43.0
115,244026387261030400,233828205151388928,嘿嘿嘿,0,53.0
116,244065728658145280,244074417200825600,中本聪,1,80.0
117,1001025018,235238274522940672,EVO capital,1,17.0
118,235264990377148416,235318318058439936,艺帆风顺,1,7.0
119,244171188040105984,240373972909425920,彦杰瑞业创投,0,6.0
120,216473940464500736,233685142751937792,麒麟社,0,5.0
121,236066664184283136,236067888744891648,BHEXVietnam,1,5.0
122,244608040488402944,244651038244865280,macro,1,104.0
123,244205804536987648,244201533192013056,达摩院,0,8.0
124,244016416586727424,244020274868258048,币核之光,1,20.0
125,244210438462767104,234695551004968192,比特币,0,13.0
126,241278329075007488,240373972909425920,彦杰瑞业创投,0,8.0
127,244201010321686528,244201533192013056,达摩院,1,27.0
128,244912194645655552,244020274868258048,币核之光,0,53.0
129,244192774940000256,244020274868258048,币核之光,0,4.0
130,244833477021925376,254874516889797888,币哈哈,0,2701.0
131,240433088898007040,240373972909425920,彦杰瑞业创投,0,99.0
132,239531127671619584,236067888744891648,BHEXVietnam,0,4.0
133,241090761150693376,243918003710985472,数字货币趋势狂人,1,265.0
134,244625559534174208,244208163958818048,熊猫军团,0,8.0
135,235298328198512640,240339635719636224,天玄宫之碧血剑,1,68.0
136,216497322719444992,233384692928480512,Token,0,27.0
137,245601990409977856,245428664312005888,blabs,0,1533.0
138,245737255413743616,239645778283595008,otokogumi-bhex,0,3.0
139,245428082486542336,245428664312005888,blabs,1,2623.0
140,246626175466864640,237661061531305216,南宫远,0,3.0
141,230478863992619008,233163060075037952,老王测试公会,1,108.0
142,246849024777519104,246778741882356992,巨石,0,180.0
143,245394596161650688,238953647206302976,孙玉杰的朋友们,0,3.0
144,244080002084372480,243126309822399744,BHEX官方公会,0,24.0
145,246946591636979712,246944446342759680,超级公会1,0,32.0
146,246966049566883840,246944446342759680,超级公会1,0,29.0
147,241204249328091136,240339635719636224,天玄宫之碧血剑,0,213.0
148,248196234861608960,244201533192013056,达摩院,0,3.0
149,244219296128172032,244201533192013056,达摩院,0,8.0
150,244517774117044224,244020274868258048,币核之光,0,8.0
151,248289336523751424,244201533192013056,达摩院,0,3.0
152,244221185670512640,244201533192013056,达摩院,0,3.0
153,244601497097338880,244201533192013056,达摩院,0,8.0
154,248234093177995264,244201533192013056,达摩院,0,8.0
155,248473358298251264,233309886921049344,Super BTC,0,81.0
156,244475825112743936,244201533192013056,达摩院,0,8.0
157,244499304801370112,244020274868258048,币核之光,0,8.0
158,244571822513979392,244201533192013056,达摩院,0,8.0
159,241765917057613824,239645778283595008,otokogumi-bhex,0,59.0
160,244569217305935872,244573072190080256,BHEX超级工会,1,4.0
161,231721722779533312,233828205151388928,嘿嘿嘿,0,6.0
162,232446139889352704,233208973938132224,brickhu's guild,1,6.0
163,241918715292286976,241907791537898752,cocolonotomo Guild,0,13.0
164,241157117439115264,241168321490453760,打到小怪兽,1,8.0
165,244693673126920192,244201533192013056,达摩院,0,8.0
166,243859174721847296,233685142751937792,麒麟社,0,26.0
167,241106170578993152,241106598783878400,百倍币协会,1,151.0
168,240397128462237696,240373972909425920,彦杰瑞业创投,0,122.0
169,246242494453645312,246238539459855616,复仇者联盟,0,1.0
170,246240844691275776,246238539459855616,复仇者联盟,0,1.0
171,252023070938890240,252036128738379008,共赢集团,1,8.0
172,244165192223817728,244103179665671424,大路节点,0,79.0
173,252107814175244288,240373972909425920,彦杰瑞业创投,0,306.0
174,252175771387559936,246944446342759680,超级公会1,0,8.0
175,244565589174255616,244103179665671424,大路节点,0,1978.0
176,252168837599068160,246944446342759680,超级公会1,0,2739.0
177,252587103987433472,252609114176488704,金義之家,1,90.0
178,252666763836391424,252609114176488704,金義之家,0,8.0
179,219224468617428992,234459696810165504,up up,0,8.0
180,252741877227585536,252609114176488704,金義之家,0,33.0
181,244790009453084672,240373972909425920,彦杰瑞业创投,0,31.0
182,252138692549017600,239645778283595008,otokogumi-bhex,0,376.0
183,252528123340652544,240373972909425920,彦杰瑞业创投,0,306.0
184,241152590384201728,241157643052516608,Jennifer的工会,1,22.0
185,241934910045290496,239645778283595008,otokogumi-bhex,0,126.0
186,253270438367723520,240373972909425920,彦杰瑞业创投,0,786.0
187,244130959111487488,244103179665671424,大路节点,0,883.0
188,253543103728975872,239645778283595008,otokogumi-bhex,0,158.0
189,252623608248270848,240373972909425920,彦杰瑞业创投,0,1768.0
190,1001025001,249781835687789824,ANBINCE,1,5.0
191,97298429944266752,237688750036223232,任培伟的公会,1,5.0
192,1001025042,239647300446848256,Chain Capital,1,5.0
193,217421583332147200,233685142751937792,麒麟社,0,5.0
194,218478363189444608,238856168444003584,1111111,1,5.0
195,220958474748821504,238804827101201664,66666,1,5.0
196,216561257166405632,233384692928480512,Token,0,322.0
197,233335509555085312,233339940526884096,超级工会,1,5.0
198,230164722853609472,233828205151388928,嘿嘿嘿,0,5.0
199,217303503566274560,234432763380630784,跑跑卡丁车,0,5.0
200,217332273480204288,234459696810165504,up up,1,48.0
201,235839299915087872,233280106230187264,bhex官方小姐姐,0,5.0
202,239617842465734656,239557784142873856,BHEX Vietnam,0,5.0
203,241847969933164544,239645778283595008,otokogumi-bhex,0,5.0
204,234669484907167744,234672157173744896,BHEX大牛,1,13.0
205,218508518523928576,234463534816429312,金金土,1,5.0
206,239640578688811008,239557784142873856,BHEX Vietnam,0,5.0
207,240300198231015424,236067888744891648,BHEXVietnam,0,5.0
208,217351077467783168,233685142751937792,麒麟社,0,36.0
209,240239515267235840,239557784142873856,BHEX Vietnam,0,5.0
210,242393799450689536,242392198543574272,LEX,0,5.0
211,241861580860686336,241871349310817536,hidekishon,1,5.0
212,240188489705193472,239557784142873856,BHEX Vietnam,0,5.0
213,240307645821747200,239557784142873856,BHEX Vietnam,0,5.0
214,242375282059902976,242392198543574272,LEX,1,5.0
215,239108088198856704,236067888744891648,BHEXVietnam,0,5.0
216,239645424510828544,239557784142873856,BHEX Vietnam,0,5.0
217,241666423997595648,244644756544816384,牛眼,1,5.0
218,239518844987899904,236067888744891648,BHEXVietnam,0,5.0
219,240140798782603264,239557784142873856,BHEX Vietnam,0,5.0
220,239587833680232448,239557784142873856,BHEX Vietnam,0,5.0
221,242028066015281152,236067888744891648,BHEXVietnam,0,5.0
